epoch: 39/100, train_loss: 1.2067, train_acc: 0.5723, test_loss: 1.2064, test_acc: 0.5699 
epoch: 40/100, train_loss: 1.2020, train_acc: 0.5730, test_loss: 1.2095, test_acc: 0.5645 
epoch: 41/100, train_loss: 1.2016, train_acc: 0.5741, test_loss: 1.2006, test_acc: 0.5702 
epoch: 42/100, train_loss: 1.1976, train_acc: 0.5734, test_loss: 1.2133, test_acc: 0.5660 
epoch: 43/100, train_loss: 1.1964, train_acc: 0.5760, test_loss: 1.2144, test_acc: 0.5637 
epoch: 44/100, train_loss: 1.1879, train_acc: 0.5755, test_loss: 1.1974, test_acc: 0.5729 
epoch: 45/100, train_loss: 1.1891, train_acc: 0.5786, test_loss: 1.1914, test_acc: 0.5726 
epoch: 46/100, train_loss: 1.1834, train_acc: 0.5780, test_loss: 1.1987, test_acc: 0.5687 
epoch: 47/100, train_loss: 1.1803, train_acc: 0.5784, test_loss: 1.1963, test_acc: 0.5693 
epoch: 48/100, train_loss: 1.1806, train_acc: 0.5816, test_loss: 1.1873, test_acc: 0.5766 
epoch: 49/100, train_loss: 1.1730, train_acc: 0.5835, test_loss: 1.1803, test_acc: 0.5817 
epoch: 50/100, train_loss: 1.1505, train_acc: 0.5896, test_loss: 1.1681, test_acc: 0.5797 
epoch: 51/100, train_loss: 1.1503, train_acc: 0.5908, test_loss: 1.1735, test_acc: 0.5804 
epoch: 52/100, train_loss: 1.1432, train_acc: 0.5911, test_loss: 1.1700, test_acc: 0.5786 
epoch: 53/100, train_loss: 1.1440, train_acc: 0.5929, test_loss: 1.1657, test_acc: 0.5823 
epoch: 54/100, train_loss: 1.1416, train_acc: 0.5920, test_loss: 1.1715, test_acc: 0.5852 
epoch: 55/100, train_loss: 1.1420, train_acc: 0.5918, test_loss: 1.1665, test_acc: 0.5790 
epoch: 56/100, train_loss: 1.1404, train_acc: 0.5933, test_loss: 1.1603, test_acc: 0.5885 
epoch: 57/100, train_loss: 1.1416, train_acc: 0.5928, test_loss: 1.1659, test_acc: 0.5794 
epoch: 58/100, train_loss: 1.1418, train_acc: 0.5940, test_loss: 1.1719, test_acc: 0.5811 
epoch: 59/100, train_loss: 1.1422, train_acc: 0.5938, test_loss: 1.1563, test_acc: 0.5802 
epoch: 60/100, train_loss: 1.1374, train_acc: 0.5952, test_loss: 1.1767, test_acc: 0.5805 
epoch: 61/100, train_loss: 1.1432, train_acc: 0.5939, test_loss: 1.1689, test_acc: 0.5846 
epoch: 62/100, train_loss: 1.1378, train_acc: 0.5944, test_loss: 1.1673, test_acc: 0.5854 
epoch: 63/100, train_loss: 1.1391, train_acc: 0.5945, test_loss: 1.1608, test_acc: 0.5872 
epoch: 64/100, train_loss: 1.1371, train_acc: 0.5961, test_loss: 1.1639, test_acc: 0.5811 
epoch: 65/100, train_loss: 1.1382, train_acc: 0.5948, test_loss: 1.1650, test_acc: 0.5778 
epoch: 66/100, train_loss: 1.1353, train_acc: 0.5964, test_loss: 1.1605, test_acc: 0.5827 
epoch: 67/100, train_loss: 1.1363, train_acc: 0.5947, test_loss: 1.1574, test_acc: 0.5875 
epoch: 68/100, train_loss: 1.1394, train_acc: 0.5942, test_loss: 1.1591, test_acc: 0.5874 
epoch: 69/100, train_loss: 1.1373, train_acc: 0.5948, test_loss: 1.1587, test_acc: 0.5794 
epoch: 70/100, train_loss: 1.1374, train_acc: 0.5964, test_loss: 1.1661, test_acc: 0.5813 
epoch: 71/100, train_loss: 1.1295, train_acc: 0.5967, test_loss: 1.1714, test_acc: 0.5828 
epoch: 72/100, train_loss: 1.1352, train_acc: 0.5938, test_loss: 1.1634, test_acc: 0.5848 
epoch: 73/100, train_loss: 1.1333, train_acc: 0.5949, test_loss: 1.1602, test_acc: 0.5837 
epoch: 74/100, train_loss: 1.1348, train_acc: 0.5962, test_loss: 1.1554, test_acc: 0.5848 
epoch: 75/100, train_loss: 1.1343, train_acc: 0.5957, test_loss: 1.1567, test_acc: 0.5878 
epoch: 76/100, train_loss: 1.1318, train_acc: 0.5972, test_loss: 1.1572, test_acc: 0.5830 
epoch: 77/100, train_loss: 1.1289, train_acc: 0.5956, test_loss: 1.1468, test_acc: 0.5858 
epoch: 78/100, train_loss: 1.1258, train_acc: 0.5931, test_loss: 1.1490, test_acc: 0.5824 
epoch: 79/100, train_loss: 1.1329, train_acc: 0.5972, test_loss: 1.1490, test_acc: 0.5929 
epoch: 80/100, train_loss: 1.1293, train_acc: 0.5960, test_loss: 1.1570, test_acc: 0.5838 
epoch: 81/100, train_loss: 1.1311, train_acc: 0.5952, test_loss: 1.1637, test_acc: 0.5851 
epoch: 82/100, train_loss: 1.1292, train_acc: 0.5987, test_loss: 1.1516, test_acc: 0.5877 
epoch: 83/100, train_loss: 1.1344, train_acc: 0.5969, test_loss: 1.1563, test_acc: 0.5865 
epoch: 84/100, train_loss: 1.1307, train_acc: 0.5961, test_loss: 1.1629, test_acc: 0.5837 
epoch: 85/100, train_loss: 1.1330, train_acc: 0.5956, test_loss: 1.1669, test_acc: 0.5801 
epoch: 86/100, train_loss: 1.1297, train_acc: 0.5996, test_loss: 1.1550, test_acc: 0.5852 
epoch: 87/100, train_loss: 1.1302, train_acc: 0.5993, test_loss: 1.1551, test_acc: 0.5850 
epoch: 88/100, train_loss: 1.1325, train_acc: 0.5982, test_loss: 1.1578, test_acc: 0.5833 
epoch: 89/100, train_loss: 1.1271, train_acc: 0.5954, test_loss: 1.1503, test_acc: 0.5909 
epoch: 90/100, train_loss: 1.1314, train_acc: 0.5961, test_loss: 1.1487, test_acc: 0.5835 
epoch: 91/100, train_loss: 1.1310, train_acc: 0.5943, test_loss: 1.1565, test_acc: 0.5823 
epoch: 92/100, train_loss: 1.1292, train_acc: 0.5971, test_loss: 1.1597, test_acc: 0.5892 
epoch: 93/100, train_loss: 1.1312, train_acc: 0.5990, test_loss: 1.1574, test_acc: 0.5838 
epoch: 94/100, train_loss: 1.1284, train_acc: 0.5967, test_loss: 1.1564, test_acc: 0.5825 
epoch: 95/100, train_loss: 1.1276, train_acc: 0.5977, test_loss: 1.1511, test_acc: 0.5814 
epoch: 96/100, train_loss: 1.1311, train_acc: 0.5966, test_loss: 1.1507, test_acc: 0.5922 
epoch: 97/100, train_loss: 1.1315, train_acc: 0.5988, test_loss: 1.1541, test_acc: 0.5902 
epoch: 98/100, train_loss: 1.1235, train_acc: 0.5984, test_loss: 1.1509, test_acc: 0.5867 
epoch: 99/100, train_loss: 1.1314, train_acc: 0.5961, test_loss: 1.1580, test_acc: 0.5871 
epoch: 100/100, train_loss: 1.1288, train_acc: 0.5943, test_loss: 1.1517, test_acc: 0.5842 
